connected to i2c device 5
imu who am i is 113 
                    
calibration complete, -2.695923 -2.784371 2.228475 -1.994713 1.183828 0.000000
shared memory attached at address 0xb6f7e000
segment size: 25600
calibration complete, 4.137041 2.280841 -0.872952 -3.076362 3.127099 0.000000
   0.00000,   0.92239
   0.00000,   0.87029
   0.00000,   0.79781
   0.00000,   0.87541
   0.00000,   0.77279
   0.00000,   0.73369
   0.00000,   0.82210
   0.00000,   0.70911
   0.00000,   0.56801
   0.00000,   0.65785
   0.00000,   0.63595
   0.00000,   0.67327
   0.00000,   0.53309
   0.00000,   0.41089
   0.00000,   0.28686
   0.00000,   0.47075
   0.00000,   0.65228
   0.00000,   0.56665
   0.00000,   0.53356
   0.00000,   0.74477
   0.00000,   0.64237
   0.00000,   0.60378
   0.00000,   0.84771
   0.00000,   0.68969
   0.00000,   0.69319
   0.00000,   0.84986
   0.00000,   0.99962
   0.00000,   0.95065
   0.00000,   1.12313
   0.00000,   1.26600
   0.00000,   1.13842
   0.00000,   1.01785
   0.00000,   1.24634
   0.00000,   1.10189
   0.00000,   0.99352
   0.00000,   1.08672
   0.00000,   0.91869
   0.00000,   0.69061
   0.00000,   0.77634
   0.00000,   0.90793
   0.00000,   0.76514
   0.00000,   0.73678
   0.00000,   0.54791
   0.00000,   0.62479
   0.00000,   0.62447
   0.00000,   0.43783
   0.00000,   0.53427
   0.00000,   0.59158
   0.00000,   0.37748
   0.00000,   0.50068
   0.00000,   0.60057
   0.00000,   0.40455
   0.00000,   0.60909
   0.00000,   0.65558
   0.00000,   0.54105
   0.00000,   0.49583
   0.00000,   0.47532
   0.00000,   0.62439
   0.00000,   0.61743
   0.00000,   0.69176
   0.00000,   0.82920
   0.00000,   0.61574
   0.00000,   0.75266
   0.00000,   0.87385
   0.00000,   0.91864
   0.00000,   0.98471
   0.00000,   0.97076
   0.00000,   1.00537
   0.00000,   0.99108
   0.00000,   0.95544
   0.00000,   0.98705
   0.00000,   1.01660
   0.00000,   0.80767
   0.00000,   0.67546
   0.00000,   0.49973
   0.00000,   0.62231
   0.00000,   0.66418
   0.00000,   0.58419
   0.00000,   0.46613
   0.00000,   0.49440
   0.00000,   0.47937
   0.00000,   0.53086
   0.00000,   0.56093
